id,text,label,type_,tweet_id
15,دوق طعم مفهوم الإرهاب فى مصر .. شكل جديد .. بنفس الطعم الرائع ..   cpd,1,training,'369569578466025472'
16,@TGONU نفرض بشار ايراني صفوي، ماذا عن ثوره اليمن وعدد الشهداء والمجاعه؟؟ لاأرى جمع تبرعات واسلحه #العكر,0,training,'259239061817028608'
17,"سوريا ""تُوبخ"" أردوغان لاستخدام العنف ضد محتجين أتراك. مسخرة!! فعلآوجه ممسوح بمرق #تركيا #سوريا",1,training,'341076795623362560'
18,"  الثنائي المضحك : حاليّاً ""إبليس""  هرب إلى (جهنم) و ""بشّار""  هرب إلى حزب الله (لبنان) روحة بلا رجعة يا رب",1,training,'225957590222376960'
19,ابوي حمسني ملييوون لان اقتنع هالصيف نروح كوريا .. ادعوا كل شي يضبط وما يخرب علينا شي,0,training,'955947934964699141'
20,من يخرج ليسب و يشتم ذرية مبارك و يقتحم البرلمان يكافأ و من يخرج و يطلب حقه في العلاج و التعليم يضرب و يهان   #bedoon,1,training,'157415616079331329'
21,#عنان لكن، عنان ربما كان يكون أقل ضررا. وبعد أن تم القبض على عنان، اعلموا وتعلموا ان لانية لجوقة العسكر التخلي عن الحكم لأي أحد آخر خارج الجوقة الظالمة الفاسدة المجرمة التي لا تخضع لارادتها. للتاريخ، مرسي لم يفشل، بل خافوا نجاحه، فانلقبوا عليه,0,training,'955885279667212293'
22,#ﻣﺒﺎﺭﻙ ﺟﺎﺭﻱ ﺍﻟﻘﺒﺾ ﻋﻠﻲ #ﺍﻟﺸﻌﺐ ﺑﺘﻬﻤﺔ ﺍﻟﺒﻼﻍ ﺍﻟﻜﺎﺫﺏ !!... #ﻣﺴﺨﺮﻩ #محامى_الإخوان,1,training,'369577642628243456'
23,#القصير من رجال رأس مالهم رشاش كلاشنكوف,1,training,'342208645586620416'
24,@abounaser_1 يقول الدخلا واللاجيين !!ويقول المملكه تستخدم الخطاب الديني بالتحريض وماذا قال القرضاوي في حق القذافي ؟,0,training,'955548795911180295'
25,بمناسبة #الفلانتين المأذون لما بـ Writing و هو Drunk بيدخل السجن :)) #مصر #مرسي #الاخوان,1,training,'302068033038458880'
26,مرسي لم يُهدد بالقوة تجاه التجاوزات إلا بعد أن شعر الأخوان بالخطر على مقاعدهم..!! هههههههه رئيس نابع من الأخوان ولهم #مصر #حقيقة #جهل,1,training,'315896166040621057'
27,@Sandy_Madridsta حرباية هالاتراك كل يوم بلون .. ما تستغربي بعد فترة يحاولو يصالحو بس فشرو..بفكرو اردوغان بدو يرجع امجاد العثمانيين..,1,training,'327143475827052544'
28,"اصطدام قطار بـ""تاكسى"" أمام مزلقان أرض اللواء لالالا انتوا اكيد بتهزروا مخبين الكامرا فين يا بتوع الكاميرا المستخبيه ؟؟ #مرسي #نهضة",1,training,'291595747139403776'
29,@gaberalkarmoty انتا مولع الدنيا ليه يا قرمط؟ معلش احنا بنتكلم . #بيس_يا_مان #شفيق_يا_راجل #مصر #الاخوان #مرسي #الدستور #البرادعي,1,training,'284410222989172736'
30,- عندنا فى المحلة كان في بحر  ردمنا البحر وحفرنا نفق 😅 ، والنفق بقى بيجيب مياه 😅 😅 - عندنا فى المحلة كان فى موقف نقلنا الموقف بره البلد وبنينا كوبري فوق الموقف القديم عشان الزحمة 😅 - عندنا فى المحلة عملنا ثورة ضد مبارك وعملنا ثورة بعدها نأيد السيسى 😎,1,training,'953991903430705152'
31,بعد أن قادوا حملة تشويه ضده ، وأشتبكوا مع انصاره في مؤتمراته .الإخوان تفاوض عمرو موسى ليصبح وزير خارجية في عهد مرسي- الأخوان دول,1,training,'213569768102445056'
32,#واشنطن كالفرق بين كلب بوتين وكلب ترامب كلهم #كلاب,0,training,'955753586998349824'
33,#روسيا ترفض اتهام #ترامب بانتهاكها عقوبات #كوريا_الشمالية,0,training,'953924927391870976'
34,«طرابلس كولاية عثمانية»: حرب أردوغان السرية في ليبيا:,0,training,'955417713911922688'
35,سما المصري : ياولية يا اللي شبه القلة ( موزة بتاعة قطر ) .. هطرقعلك انا علي الامبولة,1,training,'371621655002349570'
36,#مداد_نيوز|| استكمالاً لمحاولة التدخل في الشأن الليبي، قطر تحاول قتل سيف الإسلام القذافي لهذه الأسباب. #ليبيا #نظام_الحمدين #قطر #سيف_الإسلام_القذافي #تميم_يدعم_الإرهاب #قطر_تدعم_الإرهاب,0,training,'954662300882894848'
37,"قناة الحافظ جايبالك رجال بدقون ""شيوخ"" شغلتهم بس يسبو بخلق الله و إلي بقهرك أنو شعار القناة القرآن و السنة #احا #مصر #مرسي",1,training,'330288759826415616'
38,"#حكايه_وطن قال لرئيس الروسي فلاديمير بوتين في كلمة لرؤساء دول الاتحاد ""الأوراسي""، الذي يضم الدول الواقعة بشمال روسيا، أن المحادثات الجارية بشأن إقامة مناطق تجارة حرة مع مصر وإسرائيل والهند وإيران وصربيا وسنغافورة ""مثمرة"" وفقاً لوكالة الأنباء الروسية تاس",0,training,'954182836474515456'
39,ابويا عايزني اوديله فلوس على حساب ٣٠٦٣٠٦ قولتلو لأ،قاللي ليه؟قولتله ما بدعمش حكومات انقلابات عسكرية D:   #مصر #مرسي #السيسي,1,training,'353432363990134786'
40,#30يونيو ..!! السؤال بقي: يا ترى هو هينزل رافع علم #مصر زينا ولا علم الجماعة..!!,1,training,'350226603856494592'
41,#الارهابية جميعكم الى الجحيم,0,training,'953239300551962624'
42,مرسي أثناء إستقبالة لاعيبة منتخب الشباب قال لكهرباء: إنت جاى تكهرب الدنيا قولتلُه لا أصلي كنت بسمع إن النور هنا قاطع فجيت أنورهولك :),1,training,'321745924667887616'
43,جيش سوريا و مصر و لبنان لم يطلق رصاصة على إسرائيل منذ ولادتي لهذا العالم ، و فقط رأيته يقتل أبناء وطنه بالله كيف أحترمهم و هم,0,training,'367764547765301248'
44,حكمٌ بالإعدام فلسطينيون يندِّدون بقرار ترامب حول الأونروا: كرامتنا وأمننا في خطر,0,training,'953977528598827009'
45,لو قيادات الخليج كانوا سمعو عن مشكلة بوعزيزي قبل ما يحرق نفسه و ادوله شغلانة هناك مكناش وصلنا للى احنا فيه ! #حقيقة #مصر #ضد_الانقلاب,1,training,'361915729223749633'
46,"  #المسخرة_بالشين #المنفضة بصفه عامة, كتر خير الفورين بوليسى, إنها متابعة أخبارنا...",1,training,'317601084883484672'
47,…   متصل ع قناة الفراعين اوباما عميل لا امريكا #مصر,0,training,'368659452422938624'
48,مصرية فوجئت بعد أن تم انتحال شخصيتها في مركز اقتراع في الإسكندرية #مصر,0,training,'205314432241377281'
49,اب سوري يفقد 13 من عائلته بعد ان قصفهم الجيش التركي المجرم في مدينة الباب  ( مشاهد لايظهرها الإعلام المنافق ولايريدها انصار اردوغان ),0,training,'955424416128815104'
50,@janoubia_news):  #بوتين يخطف الأنفاس ويغوص في الجليد! #روسيا...,0,training,'954348083764191234'
51,ما بين تابليت مرسي واستيكة مبارك   ! احنا كنا في دولة المسخ,1,training,'330832823470653440'
52,#السيسي_وعصابته غدرت بالرئيس المنتخب #محمد_مرسي وهددت #احمد_شفيق حتى انسحب والآن قبضت على #سامي_عنان لانه شكل خطراً على العصابة وخططها المستقبلية لك الله يا #مصر,0,training,'955893203617513472'
53,#يتيم_المجد وضعه مزري يذكرني ببشار النعجه يوم يجلس مع بوتين,0,training,'953033841043787777'
54,جوز اختي بيحكلي خطاب مرسي وبيقلده,1,training,'346009439393943552'
55,دول ثوار ؟   محمد حبيب النائب السابق لمرشد الاخوان: مرسي اتفق مع عمر سليمان على الانسحاب من الميدان مقابل شرعية الجماعة!,1,training,'350578315314216960'
56,#امان زى اللى بيقول ماما #رقاصه بس مربيانى احسن تربيه   ياجدع :D :D :D,1,training,'351121119174078464'
57,هع هع هع مبارك يطالب الداخلية بحضوره جنازة عمر سليمان,1,training,'226450962582208512'
58,#عباس_كامل .. رسالة من جهاز الموساد الإسرائيلي إلى العميل المخلص عبد الفتاح السيسي .. نشكركم على حسن تعاونكم معنا,1,training,'953978572590518272'
59,#اللى_هينتحروا_بسبب_خطاب_البتاع_بيعملوا_فولو_لبعض,1,training,'352196836028727296'
60,خطاب مرسي   مونتاج عالمي بجد #بورسعيد #مرسي,1,training,'312344288224755713'
61,وصول 27 الف طن قمح من روسيا ف ميناء الاسكندريه مع ان بوز الاخص #مرسى لما راح قال لبوتين عندك قمح قالوا ﻷ وهو عنده جوه   ههههه,1,training,'366983304458670080'
62,#حظر دا .. يعني بدل ما تبقا حظر تبقا حذر !!! #مرسي,1,training,'296385159987597312'
63,ياخراشي علي مخ الخرفان حتي لما بيطلعو اشاعه بيطلعوها هابله زيهم بيقولك جبهه الانقاذ لانقاذ الحزب الوطني كانت تخطط لخطف مرسي نيههااا,1,training,'280383828521017344'
64,ههههههههههه النشيد فى بدايتة حسسنى ان #الحرب قامت وبعدين قلب ردح لـ #مرسى ولـ #حزب_الكنبة ...,1,training,'345641354694635522'
65,@Gaber75:   | حملة جديدة تحت عنوان «كمل جميلك» تبدأ بجمع ما تقدره بـ 30 مليون توقيع في 16 سبتمبر القادم لترشيح «السيسي» للرئاسة #مصر,0,training,'376811630115692545'
66,مرسي لفاروق سلطان: النيشان اللي ادتهولك ده تبله وتشرب ميته يا فاروق #هزار,1,training,'222128072617496576'
67,احسبه ترامب قلبتوا راسي بالصورة 🙄,0,training,'953981331939168256'
68,@SaifAlIslam_G):  شهادة للتاريخ:  السعودية لا تخون أعدائها حتى تخون أصدقائها،...,0,training,'955447081577123840'
69,#البحرين_قطر  #مجلس_خليجي23 الشيخة موزه تكافئ للاعيبة منتخب #قطر على المجهود الي بذلوه في البطوله #خليجي23 تكفلها بسهره ليلة كامله معى النوم مع كل لاعب +الفوتكا على حسابها الخاص,0,training,'946805661840572416'
70,  بشار يصرح بإنو المتظاهرين ماهم إلا عاطلون يتلقون أجر مادي شو مشان يلي بيموتوا برصاص عصابتك يابشار !!!!!!,1,training,'209206845628350464'
71,…  أردوغان يعترف بالاتفاق وروسيا تؤكد تواصلهما الدائم معه,0,training,'955430379766267905'
72,#السيسي يهاجم ثورات الربيع العربي ويتهمها بالتسبب في مقتل مليون و400 ألف شخص!! وجه له رسالة..,0,training,'953998679035338753'
73,#عزمي_بياره اجنبي والعصملي والايراني محتل ديرتهم من جد يوم قال معمر القذافي #من_انتم والله ان #تميم وابوه و #حمد_بن_جاسم مرتزقه وخدامين للتركي وللايراني الله يعز #ملكنا_سلمان و _#محمد_بن_سلمان بس,0,training,'955256312140632064'
74,"تذكرت هيدول اللي بكونوا ناطرين تفجير الجامع بسوريا ليقولوا ""الله اكبر على بشار"" ..خييّ، شو عرّفك بشار هلق حيبعت صاروخ؟ احترموا عقولنا",1,training,'337303226187649024'
75,#كيم_جونغ_أون مهدد بدخول السجن.. #كوريا_الشمالية  تابعونا عبر بثنا الباشر على يوتيوب من خلال الرابط التالي:,0,training,'955063407484526592'
76,اسوء معامله تلقاها في مركز خدمة المواطن فرع مبارك الكبير الموظفه تحسسك انك داش بيت ابوها وترد من طرف خشمها,1,training,'335068367838928896'
77,ده ايه ده بقى ان شاء الله !!! .. الناس دى لاسعة رسمى هههههههههه #مرسى #اخوان #كوميديا,0,training,'203774633365864448'
78,#موزة_المسند #موزة_المسند_عقرب_الرمل #الشيخه_موزا_مصدر_ارهابهم #قطر_تدعم_الإرهاب #قطر_تمول_الإرهاب الشرفاء لي طالعين ويقولون لا تتكلم في الاعراض و ينكم من سبهم واهانتهم لرموز دولتنا وبنات شيوخنا وبلادنا. وبعدين #العايبة ما نطريها بالعرض لازم تنتطرى بالطول طويله هبيله,0,training,'954641198710509568'
79,جمال مبارك : زيدان مــو لاعب بشار عبدالله : بالوتلي افضل من روني يا جماعه شنو حلهم هذول والله يفشلون يبا لا يحللون بعد,1,training,'180437429172441088'
80,#عيش_حرية_كرامة لا عنان ولا السيسى مرسى رئيسى,0,training,'955888894737821697'
81,@Yousif05: #egypt مصر: مئات المتظاهرين يقطعون كوبرى أكتوبر مطالبين بالقصاص للشهداء وسط انزعاج ومشادات مع سائقى السيارات,0,training,'209365992629993473'
82,ما بق ناقص الا يتوسط بشار الاسد لاطلاق المخطوفين اللبنانيين,1,training,'266266209585094656'
83,#بوتين يستعرض قدراته الجسدية مجدداً ويغوص في مياه بحيرة متجمدة  الرابط البديل:,0,training,'954577980239503360'
84,قاللو احنا هنتعامل مع المعارضة زي ما قدرتو وزنهم فالشارع #مصر   #باسم يوسف,1,training,'282244952547811328'
85,#السيسي يخصخص جهاز المخابرات العامة #عباس,0,training,'953978487521665024'
86,ألجالية النوبية فى مصر قامت بدور عظيم فى الحرب,1,training,'254229678359982081'
87,#اردوغان خليفة المثليين وماسح حذاء بوتين ..,0,training,'954993861931171840'
88,٥٠٠ رياضي روسي تقدم للمشاركة في الالعاب الشتوية الشهر القادم تحت العلم الاولمبي، تمت الموافقه على ٣٨٩ ورفض ١١١.  هذا العدد من الرياضيين الروس تقريبا مساوي لعدد الرياضيين الروس الذين شاركوا في سوتشي الروسيه ٢٠١٤!  -كل الاخبار والتوقعات كانت بمشاركة قلة قليله بعد موافقة بوتين حينها,0,training,'954470055831621633'
89,@DLachine: و أول مناظرة رئاسية في تاريخ مصر و العالم العربي لا تذاع على تلفزيون الدولة الرسمي ..   #Monazarat #انتخابات_مصر #مصر,1,training,'200657826081800192'
90,سما المصري ماشية بزفة في المنيل علشان بتأيد السيسي و و لبسه جلبية بلدي و معاها خروف علشان تذبحه #مصر,0,training,'374503713026895872'
91,اشعر بالشفقه على حال ثورجيه مصر لو الحكم فى قضيه الالتراس كان مخفف يبقى مرسى ضيع حق الشهداء ولو حكم قاسى بالاعدام يبقى مرسى ظالم   #مصر,1,training,'295106679253630976'
92,(1) إسماعيل هنيّة في رسالة إلى السيّد القائد الخامنئي: المؤامرات كانت واضحة من البداية لكن في الأشهر الأخيرة وخلال مؤتمر #الرياض وتصريحات #ترامب التي وصف فيها #إيران و #حزب_الله و #حماس بالأعداء اتضحت هذه الحقيقة أكثر من السابق.,0,training,'953961512519036928'
93, #عاجل ..ترامب ينفي نقل السفارة الأمريكية إلى القدس خلال عام,0,training,'953745837229772800'
94,حسني اتمسك عاليه 4 اقفشات في 30 سنة مرسي بقاله 8 شهور والعرض مستمر #مرسي #حسني_مبارك,1,training,'314574477235204096'
95,بعد حبس الصحفيين .. طب هوا مبارك كان وحش فى ايه بقى ؟؟؟؟؟ ;) #اخوان #محمد_مرسى   #رصد #الجزيرة #PRT,1,training,'238678153659293697'
96,@battalalgoos وحسابك عفواً اقصد حساب باراك أوباما الساخر كان المفروض ان يعلق,1,training,'152445923878907904'
97,بتخيل ردة فعل @AhmedEysa1 وهو بيتفرج على مرسي و الكتاتني والشاطر ..وكل الإخوان ع التليفزيون ...  ..تعرفشي عنه حاجة يا @hamedelgendy,1,training,'219224231509102592'
98,وئام وهاب لميقاتي: مين انت لولا بشار الأسد؟ على أساس يا طبل انت عالم فضاء ومن أصحاب الفضل لبقاء البشرية وكلو من صناعة نفسك!!!   #لبنان,1,training,'295818303610433536'
99,"ديكتاتورية ... فاشية ... سادية , كلها مصاريف إدارية يا #مرسي :)) .. ابن الجماعة صدق انه #الرئيس :)) #هع",1,training,'306373662917939202'
100,#عاجل| #أردوغان: أتوا ب5000 شاحنة وبألفي طائرة لنقل الأسلحة إلى الإرهابيين بينما نحن أردنا شرائها من أمريكا ودفع مقابلها لكنها فضلت تسليمها للإرهابيين فكيف نكون حلفائها,0,training,'955408678378790912'
101,  عليّا النعمة .. الإخوان بقالهم 80 سنة بيعارضوا عبد الناصر و السادات و مبارك عشان يوصلوا للحُكم .. و أول...,1,training,'346420886963884032'
102,"180124 - نيڤيا كوريا سوف يقومون بحدث هدايا في بث ايكون الليله,للمشاركة خلال البث قومو بالتعليق برسالة تشجيعية لـ ايكون وقومو بالتقاط الشاشة عليها وقومو بالتحديث بها على الانستقرام مع هاشتاق #니베아이콘 (#.نيفيا ايكون)",0,training,'956098669962563585'
103,"@SteveNabeel: الاخوان هيغتالوا مرسي و يمثلوا دور الضحية و يهيجوا الناس و ينزلوا بخيرت الشاطر في الانتخابات اللي بعدها و يكسب""   ههههه",1,training,'316261281126547456'
104,@basma510 كفايه مسخره يا جهله ينفع شعار للمليونيه الجايه #مرسي #الاخوان,1,training,'291510244121669633'
105,#أردوغان: أتوا ب5000 شاحنة وبألفي طائرة لنقل الأسلحة إلى الإرهابيين بينما نحن أردنا شرائها من أمريكا ودفع مقابلها لكنها فضلت تسليمها للإرهابيين فكيف نكون حلفائها - عبر نبض,0,training,'955411932252655616'
106,#عفرين بعد القضاء على وحدات حماية الشعب الكردية,0,training,'955407845146726402'
107,صفحات الاخوان ناشرين الفرق بين الزيت فى عهد مبارك وعهد مرسى...شوفو الصفاااء انتو بتقولوو ايه ياجماااعه,1,training,'329354631882895361'
108,"#روسيا : الرئيس الروسي فلاديمير بوتين والعديد من الحجاج الأرثوذكس في المياه المجمدة للطقوس التقليدية الأرثوذكس عيد الغطاس بمناسبة معمودية يسوع , وقد حظرت السلطات هذه الطقوس في سيبيريا حيث انخفضت الحرارة الى – 68 درجة مئوية , وقد غمر بوتين نفسه في المياه الجليدية في بحيرة سيليجر.",0,training,'954654483228889088'
109,ملخص كلام مرسى '' طلاق مبطلقش '' :D :D,1,training,'352196542708457472'
110,"المضحك المبكي ان ""شيخ ""الازهر حرم التظاهر على مبارك وحلله على مرسي وايد مبارك ودعم شفيق وبيحسب نفسو ثائر...",1,training,'352541068765564928'
111,#مرسي عم بيقول انو على النظام الحاكم في #سوريا يراجع التاريخ #شوف_حالك   ... #مصر,1,training,'299126397643923456'
112,#خاطرة_عن_القذافي لقد أسس بنيان البلاد على شفا جرف هار وعند أول زلزال حقيقي إنهار البنيان بنا وبه في فوضى نكبة فبراير فيا إيها المتباكون على عهده لماذا النعيق بخراب فبراير والسكوت على ما ومن أوصلنا لهذا الخراب....,0,training,'955030626599690240'
113,#المعتوه_ترامب و #بوتين يرد بالفعل يجب الكشف على قواه العقلية,1,training,'953916684959698944'
114,عاجل : احلام تعلن مسؤوليتها عن مقتل القذافي    #احلام #كويت,1,training,'178514913046700036'
115,#احيه تخيلوا بقي لو اللي بيحاور مرسي دا #باسم_يوسف مش عمرو الليثي الحوار هيبقي عامل ازاي؟ :D,1,training,'305838856538845186'
116,#مرسي يصلي الفجر حاضراً #مرسي يحفظ كتاب الله عن ظهر قلب #مرسي وليٌ بل تقيٌ من أتقياء الله ... جيد ليتقدم بطلب لإمامة المسجد الحرام !!,1,training,'218257064483500032'
117,#رئيس_مصر اين سيقوم بالقسم بعدما حل مجلس الشعب المصري!!   #انتخابات_الرئاسة #Egpyt وسي مرسي يقوا احترمو القانون والقضاء,1,training,'213420094515200001'
118,احلو بعيني الوردي والبرتقالي حق جيمين الي ماكانو عاجبيني قدام زينب العسكري فرع كوريا 💔,0,training,'955965037725847552'
119,  #مرسى لو عاوز تحشد الشعب بتاعك ..اعلن عن مليونيه .الشريعه والجركن ..,1,training,'341535184644079616'
120,"@taqadum: مرسي والسيسي في مستشفي المعادي   أوفر أكتينج 1 1
ههههههههه هموت من الضحك...دة حصل فعلاً؟؟ “@taqadum: مرسي والسيسي في مستشفي المعادي 1 1
@taqadum: مرسي والسيسي في مستشفي المعادي   العلبة دي فيها فيل!!",1,training,'291242412674801666'
121,"الحمدلله اطمنت ان مرسي ونجاد بقوا في حضن بعض ,,ادخل انام بقي وانا مرتاح :D   القدر",1,training,'298731511983775745'
122,#كلنتون لكن يضحك كثيرا من يضحك أخيرا #هيلاري هي الرئيس القادم بعد إرغام #ترامب على التنحي ٢٠١٩ على أبعد تقدير,0,training,'949384365192163330'
123,يقولون الجيش السوري يخوف اسرائيل يا عم طيير الجيش فقط يحمي النعجة بشار وحزب اللات،اسرائيل تضرب سوريا والنعجة مغمض عيونه والله   #Syria,1,training,'298940194793586689'
124,"لبطة الچبد:هل تعلم أخي الثائر في البحرين:عندما تسلم خليفة بن سلمان منصب رئاسة الوزراء كان الرئيس الأمريكي أوباما في الروضة؟   #Bahrain""",1,training,'276826916164628481'
125,@alajlan_f مضحك جدا: طالما لديهم القدرة على نزع سلاح من سيسقط بشار،فلماذا لا يسقطون بشار.   و #طرفة حقيقية,0,training,'367391218344660992'
126,#الليبراليه_دمار الليبرالية والعلمانية خير وسيلة للتعايش السلمي بين الأمم دون الدخول والتطفل على المعتقدات الفكرية والايمانية لكل شخص  طبعا هالحكي لن يناسب قاذفي المحصنات من دواعش الداخل  فعلا:- من دون داعش بذتنا دواعشنا,0,training,'955926135157731335'
127,#تركيا في مأزق..! فرضت الولايات المتحدة الامريكية غرامة تصل إلى 37.5 مليار دولار عقوبة للبنك المركزي الذي تديره حكومة #أردوغان بسبب الإلتفاف على العقوبات الدولية المفروضة على #إيران وذلك بتحويل ملايين الدولارات لإيران..! •تفاوض تركيا لتخفيض المبلغ بمثابة إعتراف ضمني بالخيانة..!,0,training,'955398006785892352'
128,#المقطم (2): فيديو تخيلي لقصف كوريا الشمالية مقر الإخوان الرئيسي نزولاً علي رغبة الشعب المصري :D,1,training,'320447389183901697'
129,#مرسي بيقول ...سياسية تقوم علي استخدام التطبيق في الحوار ههههه   #قذافي_مصر,1,training,'274255233889226753'
130,@putinarabia):  أصبح معلوماً للجميع بأن العدوان على #اليمن وحصار #قطر يمكن...,0,training,'953272274781696000'
131,#ساويرس طلع ثوري ومطلعش حرامي ولا سرق 14 مليار جنيه زي ما #الاعلام الفاسد كان بيضلل الناس و #مصر لن تركع و #مرسي مش فاهم حاجة بردو,1,training,'330536770850672640'
132,"شوفتوا انتو "" اغلبية و معارضة "" هاهاها   #مرسي",1,training,'349983833782890497'
133,#الحوثي ينغمس في القاع دونية و جريمة ننتظر تبين موقفها الصريح #ارهاب_مالوش_دين يحارب #امريكا والمنطقة #العربية و #اوربا أهدافه خوجات #بوش و #هيلاري والاخرين لا يشكلو خطر,0,training,'944429343715053569'
134,#روسيا باعت السوري الكردي و #تركيا باعت السوري العربي بالنهاية المباع #سوري #شعبي #سوريا #الشعب_السوري #غصن_الزيتون #الاكراد #الكرد #أدلب #مطار_ابو_الظهور #Syria #اردوغان #بوتين,0,training,'955438026989232128'
135,#حصار_قطر .. بعد كل هذا عل هناك عاقل يصدق حديث #دول_الحصار الأربعة بان #قطر تدعم الاٍرهاب ؟!,0,training,'953843421285842944'
136,“@fatfouta1: القذافى اسلوب حياة ﺍﻫﺎﻟﻲ ﺍﻟﻤﻨﺼﻮﺭﺓ ﺍﻟﻜﺮﺍﻡ RT @M0ZHEL:   حلوه. فتيات من الجنسين,1,training,'311510672137678848'
137,"#ترامب يعلن عن قائمة الفائزين بجوائز ""الأخبار المزيفة""",0,training,'953949377223110656'
138,#مرسي أن الشرطة في القلب من ثورة 25 يناير وأنها عبرت العبور الثاني بعد عبورها الأول .. ندعو الرئيس للإفراج عن اللواء حبيب العادلي !!,1,training,'312780506209075200'
139,#يحدث_الان_في_ايران  وعشره يلطمون وهم خارج ايران  اوباما كونداليزارايس هيلاري كلينتون حسن نصر الشيطان تميم اردوغان عبدالملك الحوثي المالكي العبادي بشار  بالاضافه الى مطبلين حماس,0,training,'947715246902448128'
140,كام مرة مرسي قال شرعية #مرسي #الشرعية   :),1,training,'352392408329224192'
141,هل تعلم أن وزارة النقل ظلت بلا وزيرلمدة شهرين بعد حادث قطارأسيوط ولم تشهد السكة الحديد حوادث إلابعد تعيين وزير جديد!!   #البدرشين #مرسي,1,training,'291298052331958274'
142,#طبع_ما_تحبه أن يكون من يكفر الناس ويدخلهم في الاسلام شخص لاينتمى الى الهيئة الدينية الرسمية في المملكة العربية السعودية يجب ان تادب #نورة_شتار على خلق العنف والتكفير وهذي صورة تغريدتها تنبية داعش أفسد في الارض وسبب لكل دمار في الارض لكن هل نكفر هذا الفكر او نعالجه حاسبوها,0,training,'955909537218879490'
143,كلينتون: بشار الأسد ما زال متمسكا بالسلطة ويجب تأمين انتقال سلمي بدونه والله ان صرنه امة لا يحسب لنا اي حساب #bahrain,1,training,'251051144112128000'
144,من صفات جرائم #السيسي المفتعلة إن عدد القتلى بيكون أكتر من عدد الجرحى   #العريش #سيناء #مصر #لول,1,training,'369371459455442945'
145, ايهاب جلال مصمم يرجع باسم مرسي يجيب اجوال وباسم مرسي مصمم يرجع ايهاب جلال يدرب انبي 😂 اتوقع فوز الزمالك انشاء الله #شجع_مع_شيما,0,training,'955938049002700800'
146, واضح ان ساركوزي ماسك عليهم اشرطه 💿  وافلام يهددهم بها  😹 😹 😹 😹,1,training,'949521861808939008'
