pairID	sentence1	sentence2	gold_label	Lexical Semantics_coarse	Predicate-Argument Structure_coarse	Logic_coarse	Knowledge_coarse	Symmetry/Collectivity	Factivity	Named entities	Quantifiers	Lexical entailment	Redundancy	Morphological negation	Lexical implication	Topicalization	Core Args	Nominalization	Anaphora/Coreference	Datives	Coordination scope	Prepositional phrases	Reciprocity	Causative/Inchoative	Restrictivity	Intersectivity	Active/Passive	Relative clauses	Adjectivation	Genitives/Partitives	Ellipsis/Implicits	Affixation	Conjunction	Non-monotone	Intervals/Numbers	Downward monotone	Upward monotone	Negation	Double Negation	Conditionals	Disjunction	Temporal	Existential	Universal	Common sense	World Knowledge
12	تتميز نور بصفات عديدة : مثل القلب الحنون والمتسامح كما رأيناها في الجزأين الأول والثاني من المسلسل	تتميز نور بصفات عديدة : مثل القلب الحنون كما رأيناها في الجزأين الأول والثاني من المسلسل	entailment	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
13	تتميز نور بصفات عديدة : مثل القلب الحنون كما رأيناها في الجزأين الأول والثاني من المسلسل	تتميز نور بصفات عديدة : مثل القلب الحنون والمتسامح كما رأيناها في الجزأين الأول والثاني من المسلسل	neutral	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
14	تتميز نور بصفات عديدة : مثل القلب الحنون والمتسامح كما رأيناها في الجزأين الأول والثاني من المسلسل	تتميز نور بصفات عديدة : مثل القلب المتسامح كما رأيناها في الجزأين الأول والثاني من المسلسل	entailment	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15	تتميز نور بصفات عديدة : مثل القلب المتسامح كما رأيناها في الجزأين الأول والثاني من المسلسل	تتميز نور بصفات عديدة : مثل القلب الحنون والمتسامح كما رأيناها في الجزأين الأول والثاني من المسلسل	neutral	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16	رأينا بنت نادية في المسرح	بنت نادية رأيناها في المسرح	entailment	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	بنت نادية رأيناها في المسرح	رأينا بنت نادية في المسرح	entailment	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	قدمت الدولة دعما كبيرا لوزارة الزراعة	قدمت الدولة لوزارة الزراعة دعما كبيرا	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	قدمت الدولة لوزارة الزراعة دعما كبيرا	قدمت الدولة دعما كبيرا لوزارة الزراعة	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	ضرب زيد عمرا	ضرب عمرا زيد	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	ضرب عمرا زيد	ضرب زيد عمرا	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	تزوج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي وعاش معها لمدة ستة	تزوج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي وعاش معها	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	تزوج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي وعاش معها	تزوج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي وعاش معها لمدة ستة	neutral	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	تزوج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي	تزوجت الفنانة هيفاء وهبي من رجل الأعمال المصري أحمد أبوهشيمة	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	تزوجت الفنانة هيفاء وهبي من رجل الأعمال المصري أحمد أبوهشيمة	تزوج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	تزوج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي وعاش معها لمدة سنة	دام زواج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي لمدة سنة	entailment	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
27	دام زواج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي لمدة ستة	تزوج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي وعاش معها لمدة ستة	entailment	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
28	دام زواج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي لمدة سنة	لمدة سنة, دام زواج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي 	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	لمدة سنة, دام زواج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي 	دام زواج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي لمدة سنة	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	زواج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي دام لمدة سنة	الزواج بين رجل الأعمال المصري أحمد أبوهشيمة والفنانة هيفاء وهبي دام لمدة سنة	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	الزواج بين رجل الأعمال المصري أحمد أبوهشيمة والفنانة هيفاء وهبي دام لمدة سنة	زواج رجل الأعمال المصري أحمد أبوهشيمة من الفنانة هيفاء وهبي دام لمدة سنة	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	"تزور الطبيبة فليتشر منزل كيفن، حيث يكشف لها أنه قابل ""الوحش"""	"كيفن يكشف للطبيبة فليتشر أنه قابل ""الوحش"""	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	"كيفن يكشف للطبيبة فليتشر أنه قابل ""الوحش"""	"تزور الطبيبة فليتشر منزل كيفن، حيث يكشف لها أنه قابل ""الوحش"""	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	"تزور الطبيبة فليتشر منزل كيفن، حيث يكشف لها أنه قابل ""الوحش"""	"كيفن قابل ""الوحش"""	entailment	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	"كيفن قابل ""الوحش"""	"تزور الطبيبة فليتشر منزل كيفن، حيث يكشف لها أنه قابل ""الوحش"""	neutral	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	"تزور الطبيبة فليتشر منزل كيفن، حيث يكشف لها أنه قابل ""الوحش"""	"تزور فليتشر منزل كيفن، حيث يكشف لها أنه قابل ""الوحش"""	entailment	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	"تزور فليتشر منزل كيفن، حيث يكشف لها أنه قابل ""الوحش"""	"تزور الطبيبة فليتشر منزل كيفن، حيث يكشف لها أنه قابل ""الوحش"""	entailment	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	قابل عدي بن حاتم الطائي النبي محمد	قابل النبي محمد عدي بن حاتم الطائي	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	قابل النبي محمد عدي بن حاتم الطائي	قابل عدي بن حاتم الطائي النبي محمد 	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	قابل عدي بن حاتم الطائي النبي محمد	تقابل عدي بن حاتم الطائي والنبي محمد	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	تقابل عدي بن حاتم الطائي والنبي محمد	قابل عدي بن حاتم الطائي النبي محمد	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	تقابل عدي بن حاتم الطائي والنبي محمد في مسجده	تقابل عدي بن حاتم الطائي والنبي محمد في المسجد النبوي	entailment	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
43	تقابل عدي بن حاتم الطائي والنبي محمد في المسجد النبوي	تقابل عدي بن حاتم الطائي والنبي محمد في مسجده	entailment	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
44	تقابل عدي بن حاتم الطائي والنبي محمد في مسجده	المقابلة بين عدي بن حاتم الطائي والنبي محمد كان في مسجده	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	المقابلة بين عدي بن حاتم الطائي والنبي محمد كان في مسجده	تقابل عدي بن حاتم الطائي والنبي محمد في مسجده	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	إميل طربيه قابل الأب سارلوت	الأب سارلوت قابل إميل طربيه	neutral	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	الأب سارلوت قابل إميل طربيه	إميل طربيه قابل الأب سارلوت	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	قابل الأب سارلوت  إميل اطربيه وطلب منه وضع العلم اللبناني على برج معهد عينطورة	طلب الأب سارلوت من ميل اطربيه وضع العلم اللبناني على برج معهد عينطورة	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	طلب الأب سارلوت من ميل اطربيه وضع العلم اللبناني على برج معهد عينطورة	قابل الأب سارلوت  إميل اطربيه وطلب منه وضع العلم اللبناني على برج معهد عينطورة	neutral	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	تقاتل الزواحف بعضها بوساطة العض والهرش.	تتقاتل الزواحف بوساطة العض والهرش.	entailment	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	تتقاتل الزواحف بوساطة العض والهرش.	تقاتل الزواحف بعضها بوساطة العض والهرش.	entailment	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	وتقاتل الزواحف مهاجميها بوساطة العض والهرش.	وتتقاتل الزواحف مع مهاجميها بوساطة العض والهرش.	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	وتتقاتل الزواحف مع مهاجميها بوساطة العض والهرش.	وتقاتل الزواحف مهاجميها بوساطة العض والهرش.	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	التقى سمير غانم بكل من جورج سيدهم و الضيف أحمد	التقى سمير غانم بجورج سيده	entailment	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
55	التقى سمير غانم بجورج سيده	التقى سمير غانم بكل من جورج سيدهم و الضيف أحمد	neutral	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
56	التقى سمير غانم بكل من جورج سيدهم و الضيف أحمد	التقى سمير غانم بالضيف أحمد	entailment	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
57	التقى سمير غانم بالضيف أحمد	التقى سمير غانم بكل من جورج سيدهم و الضيف أحمد	neutral	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
58	التقى سمير غانم بكل من جورج سيدهم و الضيف أحمد	التقى جورج سيدهم بسمير غانم	entailment	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
59	التقى سمير غانم بكل من جورج سيدهم و الضيف أحمد	التقى الضيف أحمد بسمير غانم	entailment	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
60	تلاقى سمير غانم وجورج سيدهم و الضيف أحمد	تلاقى سمير غانم وجورج سيده	entailment	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
61	تلاقى سمير غانم وجورج سيده	تلاقى سمير غانم وجورج سيدهم و الضيف أحمد	neutral	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
62	تلاقى سمير غانم وجورج سيدهم و الضيف أحمد	تلاقى جورج سيدهم و الضيف أحمد	entailment	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
63	تلاقى جورج سيدهم و الضيف أحمد	تلاقى سمير غانم وجورج سيدهم و الضيف أحمد	neutral	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
64	عربت الحكومة التدريس	تعرب التدريس	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	تعرب التدريس	عربت الحكومة التدريس	neutral	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	كسر أحد السكان برميل مملؤ بالنبيذ الأحمر في أحد شوارع حي سانت أنطوان	انكسر برميل مملؤ بالنبيذ الأحمر في أحد شوارع حي سانت أنطوان	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	انكسر برميل مملؤ بالنبيذ الأحمر في أحد شوارع حي سانت أنطوان	كسر أحد السكان برميل مملؤ بالنبيذ الأحمر في أحد شوارع حي سانت أنطوان	neutral	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	كان كلوفيس الأول أول ملك للفرنكيين يوحد جميع القبائل تحت حاكم واحد.	كان كلوفيس الأول أول ملك يوحد جميع القبائل تحت حاكم واحد.	neutral	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
69	كان كلوفيس الأول أول ملك يوحد جميع القبائل تحت حاكم واحد.	كان كلوفيس الأول أول ملك للفرنكيين يوحد جميع القبائل تحت حاكم واحد.	neutral	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
70	الإشعاع النووي يمكن أن يقتلك في غضون ساعات.	الإشعاع النووي قد يقتلك في غضون ساعات.	entailment	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	الإشعاع النووي قد يقتلك في غضون ساعات.	الإشعاع النووي يمكن أن يقتلك في غضون ساعات.	entailment	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	قرّر الٱتّحاد العمّاليّ العامّ اللبنانيّ تعليق الٱعتصامات إلى ما بعد غد السبت	قرّر الٱتّحاد العمّاليّ العامّ اللبنانيّ تعليق الٱعتصامات إلى السبت	entailment	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	قرّر الٱتّحاد العمّاليّ العامّ اللبنانيّ تعليق الٱعتصامات إلى السبت	قرّر الٱتّحاد العمّاليّ العامّ اللبنانيّ تعليق الٱعتصامات إلى ما بعد غد السبت	entailment	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	اتفق العثمانيون مع المصريين على قتال البريطانيين	اتفق العثمانيون والمصريون على قتال البريطانيين	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	اتفق العثمانيون والمصريون على قتال البريطانيين	اتفق العثمانيون مع المصريين على قتال البريطانيين	entailment	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	اتفق العثمانيون مع المصريين على قتال البريطانيين	اتفق العثمانيون مع البريطانيين على قتال المصريين	contradiction	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	اتفق العثمانيون مع البريطانيين على قتال المصريين	اتفق العثمانيون مع المصريين على قتال البريطانيين	contradiction	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	إتفق أهل الحل والعقد من أبناء الأسرة المالكة إن الحل الوحيد لهذه المسائل هو خلع الملك سعود	إتفق جميع أهل الحل والعقد إن الحل الوحيد لهذه المسائل هو خلع الملك سعود	neutral	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	إتفق جميع أهل الحل والعقد إن الحل الوحيد لهذه المسائل هو خلع الملك سعود	إتفق أهل الحل والعقد من أبناء الأسرة المالكة إن الحل الوحيد لهذه المسائل هو خلع الملك سعود	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
