pairID	sentence1	sentence2	gold_label
61	لكن كانوا منقسمين مثل من كان المزارعين ومن كان أطفال المنزل ، كان ذلك نوع من --	اتفقوا جميعًا على أن عليهم العمل جميعًا في الحقول.	contradiction
62	لكن كانوا منقسمين مثل من كان المزارعين ومن كان أطفال المنزل ، كان ذلك نوع من --	لم يتمكنوا من الاتفاق على من كانت له يد ميدانية ومن ينتمي للمنزل.	entailment
63	لكن كانوا منقسمين مثل من كان المزارعين ومن كان أطفال المنزل ، كان ذلك نوع من --	لم يتمكنوا من الاتفاق على من يجب أن يعمل في مجال القطن ومن يجب أن يمسح الأرضيات.	neutral
67	سوف يتحدث معنا اليوم عن( اس اس) الثالثة ، )يو٢ ) كويك و بلاك بيرد الطائر الأسود)  .	لقد قرر ألا يتحدث مجدداً.	contradiction
68	سوف يتحدث معنا اليوم عن( اس اس) الثالثة ، )يو٢ ) كويك و بلاك بيرد الطائر الأسود)  .	هو يتحدث عن ثلاث غواصات مختلفة.	neutral
69	سوف يتحدث معنا اليوم عن( اس اس) الثالثة ، )يو٢ ) كويك و بلاك بيرد الطائر الأسود)  .	يتحدث عن ثلاثة أشياء.	entailment
70	أقصد  كان لديهم خمس أولاد فقط ، مات واحد منهم .	نجا أطفالهم جميعا.	contradiction
71	أقصد  كان لديهم خمس أولاد فقط ، مات واحد منهم .	توفي طفل واحد من الخمسة.	entailment
72	أقصد  كان لديهم خمس أولاد فقط ، مات واحد منهم .	كان الطفل الذي مات مولود مرض.	neutral
73	وبالطبع لم يُجب أندروف جروميكوف عن أي شيء ولكننا توصلنا إلى المعلومات من التصوير الذي التقطته الوحدة الثانية.	صوَّرت U2 الكثير من الأفلام.	entailment
74	وبالطبع لم يُجب أندروف جروميكوف عن أي شيء ولكننا توصلنا إلى المعلومات من التصوير الذي التقطته الوحدة الثانية.	أخذ U2 العديد من الأفلام من تحت الماء.	neutral
75	وبالطبع لم يُجب أندروف جروميكوف عن أي شيء ولكننا توصلنا إلى المعلومات من التصوير الذي التقطته الوحدة الثانية.	لم نملك مشاهد مصورة ‘ لذلك توجب علينا أن نخمن فقط.	contradiction
76	قالت كانت هناك دموع تنهمر من عينيها . وبعد ذلك قالت أن جو قَدِم إلى الشرفة .	كانت الدموع في عينيها عندما أخبرته بأن يصعد الرواق.	entailment
77	قالت كانت هناك دموع تنهمر من عينيها . وبعد ذلك قالت أن جو قَدِم إلى الشرفة .	انها سرعان ما مسحت الدموع بعد رميها جو من الشرفة.	contradiction
78	قالت كانت هناك دموع تنهمر من عينيها . وبعد ذلك قالت أن جو قَدِم إلى الشرفة .	كانت سعيدة للغاية لرؤية جو يبدأ بالصراخ.	neutral
79	حتى لو كانت الطائرة محترقة ، فلماذا تحترق ، وستحترق من خلال عنصر الرصاص حتى يتسرب الإشعاع.	يمكن احتواء الإشعاع أثناء الحريق كذلك.	neutral
80	حتى لو كانت الطائرة محترقة ، فلماذا تحترق ، وستحترق من خلال عنصر الرصاص حتى يتسرب الإشعاع.	سوف يتسرب الإشعاع من عنصر الرصاص بعد حرق الطائرة.	entailment
81	حتى لو كانت الطائرة محترقة ، فلماذا تحترق ، وستحترق من خلال عنصر الرصاص حتى يتسرب الإشعاع.	الإشعاع لن يتسرب أثناء الحريق.	contradiction
88	هذا هو رئيس الرقيب كليم فرانسيس ، متقاعد من القوات الجوية الأمريكية.	استقال الرئيس من القوات الجوية الأمريكية.	entailment
89	هذا هو رئيس الرقيب كليم فرانسيس ، متقاعد من القوات الجوية الأمريكية.	تقاعد الرئيس مؤخرا وذلك منذ بضعة أسابيع.	neutral
90	هذا هو رئيس الرقيب كليم فرانسيس ، متقاعد من القوات الجوية الأمريكية.	بدأ قائد سلاح الجو الأمريكي مسيرته المهنية هذا الأسبوع.	contradiction
91	حسنا حدث أن  طائرتين  أو ثلاثة ينبغي أن تصل خلال اسبوع ولم أعرف أين وجهتهما .	تصل أكثر من طائرة كل أسبوع.	entailment
92	حسنا حدث أن  طائرتين  أو ثلاثة ينبغي أن تصل خلال اسبوع ولم أعرف أين وجهتهما .	زيادة حركة الطائرات أمر مزعج.	neutral
93	حسنا حدث أن  طائرتين  أو ثلاثة ينبغي أن تصل خلال اسبوع ولم أعرف أين وجهتهما .	لا توجد أي طائرات قادمة.	contradiction
94	لقد تلقوا تدريبهم من قبل بملابس الضغط الكاملة واخذت مني وقتا إذا ارتديت بدلات الضغط الكاملة .	يستغرق الأمر مدة تصل إلى ثلاثة أشهر لاستكمال التدريب على استخدام البدلة المضغوطة كاملة.	neutral
95	لقد تلقوا تدريبهم من قبل بملابس الضغط الكاملة واخذت مني وقتا إذا ارتديت بدلات الضغط الكاملة .	التدرب لاستخدام بزة الضغط الكامل يحتاج إلى وقت.	entailment
96	لقد تلقوا تدريبهم من قبل بملابس الضغط الكاملة واخذت مني وقتا إذا ارتديت بدلات الضغط الكاملة .	يمكننا تدريبك على استخدام بدلة ضغط كاملة بحلول نهاية اليوم.	contradiction
106	أريد أن أقول إنه لم يكن هناك أي خطر في الدخول في القنبلة لأنها لن تنفجر، بغض النظر عن مدى قوتها على الأرض.	وقد تم تعطيل القنبلة من قبل الطيار.	neutral
107	أريد أن أقول إنه لم يكن هناك أي خطر في الدخول في القنبلة لأنها لن تنفجر، بغض النظر عن مدى قوتها على الأرض.	لم يكن لدى القنبلة أي فرصة للانفجار.	entailment
108	أريد أن أقول إنه لم يكن هناك أي خطر في الدخول في القنبلة لأنها لن تنفجر، بغض النظر عن مدى قوتها على الأرض.	كان هناك خطر كبير من انفجار القنبلة.	contradiction
109	وما رأيك أن الأمر يبدو على نحو مماثل لما أحاول القيام به بالفعل.	لست متأكدًا مما يبدو لك هذا.	contradiction
110	وما رأيك أن الأمر يبدو على نحو مماثل لما أحاول القيام به بالفعل.	من الواضح أنني أحاول القيام بذلك.	entailment
111	وما رأيك أن الأمر يبدو على نحو مماثل لما أحاول القيام به بالفعل.	أنا أحاول إنهاء مشروعي في الأسبوع القادم.	neutral
112	لكن على أية حال ، ستصبح الحيوانات طليقة طوال الوقت ، وخاصة الماعز .	هربت الماعز من الحظيرة كل يوم.	neutral
113	لكن على أية حال ، ستصبح الحيوانات طليقة طوال الوقت ، وخاصة الماعز .	هربت الماعز في كثير من الأحيان.	entailment
114	لكن على أية حال ، ستصبح الحيوانات طليقة طوال الوقت ، وخاصة الماعز .	تم الحفاظ على الماعز آمنة ومأمونة.	contradiction
118	تم قفل الأبواب عندما دخلنا.	كانت جميع الأبواب مفتوحة.	contradiction
119	تم قفل الأبواب عندما دخلنا.	نحن تلقّينا المفتاح مع نا.	neutral
120	تم قفل الأبواب عندما دخلنا.	ذهبنا على الرغم من أن الأبواب كانت مغلقة.	entailment
127	لذا، كان عليّ فقط أخذ المجاميع ومحاولة تصويرها من هذا القبيل.	أثق بأن الإجماليات هي كل ما أحتاجه للحصول على هذه النتيجة.	neutral
128	لذا، كان عليّ فقط أخذ المجاميع ومحاولة تصويرها من هذا القبيل.	ليس لدي أدنى فكرة عمّا ينبغي القيام به بالأرقام الإجمالية فقط، من فضلك أعطني المزيد من التفاصيل لحل هذه الورطة.	contradiction
129	لذا، كان عليّ فقط أخذ المجاميع ومحاولة تصويرها من هذا القبيل.	سأقوم بحسابه على أساس المجاميع.	entailment
130	أتى ، فتح الباب وأتذكر أني نظرت إلى الخلف ورأيت تعابير قسمات وجه واستطيع القول أنه كان محبطا .	لقد كان مسروراً للغاية ويكاد يطير من الفرح لدرجة أنه أسقط الباب من هيكله.	contradiction
131	أتى ، فتح الباب وأتذكر أني نظرت إلى الخلف ورأيت تعابير قسمات وجه واستطيع القول أنه كان محبطا .	كان يحاول ألا يجعلنا نشعر بالذنب لكننا كنا نعرف أننا قد تسببنا له في مشاكل.	neutral
132	أتى ، فتح الباب وأتذكر أني نظرت إلى الخلف ورأيت تعابير قسمات وجه واستطيع القول أنه كان محبطا .	فقط من خلال نظرة على وجهه عندما جاء من الباب كنت أعرف فقط أنه خذل.	entailment
133	لذلك ، لا أملك أي قصص محددة  .	ليس لدي متجر معين.	entailment
134	لذلك ، لا أملك أي قصص محددة  .	لدي متجر واحد محدد.	contradiction
135	لذلك ، لا أملك أي قصص محددة  .	هناك الكثير من المتاجر.	neutral
142	وفعلا لم يكن عليه أبدا أن يقدم أي شيْ لنفسه .	إنّه يحصل على الكثير من المساعدة.	entailment
143	وفعلا لم يكن عليه أبدا أن يقدم أي شيْ لنفسه .	يحصل على مساعدة في وجباته وملابسه.	neutral
144	وفعلا لم يكن عليه أبدا أن يقدم أي شيْ لنفسه .	هو شخص مستقل جدا .	contradiction
148	حسناً أنا مثل، يا إلهي، ورامونا كانت تقف هناك.	كان رامونا على الأرض متقوقع في وضع الجنين.	contradiction
149	حسناً أنا مثل، يا إلهي، ورامونا كانت تقف هناك.	حكمت عليّ رامونا بصمت.	neutral
150	حسناً أنا مثل، يا إلهي، ورامونا كانت تقف هناك.	كانت رامونا واقفا بينما أنا كنت أشعر بالرهبة.	entailment
154	والحقيقة هي أنها كانت خفيفة !	أكلت الكثير من الطعام، لكنها أبقت وزنها منخفضًا.	neutral
155	والحقيقة هي أنها كانت خفيفة !	لم تزن الكثير على الإطلاق.	entailment
156	والحقيقة هي أنها كانت خفيفة !	كانت سعيدة جدا.	contradiction
163	أنا لا أعرف ما إذا مكث في أوغوستا بعد ذلك.	تابع العيش في أوغوستا حتى بعد الهجمات.	neutral
164	أنا لا أعرف ما إذا مكث في أوغوستا بعد ذلك.	هو استمر فى العيش فى أوجوستا .	entailment
165	أنا لا أعرف ما إذا مكث في أوغوستا بعد ذلك.	انتقل خارج أوغوستا على الفور.	contradiction
166	كل ما فعلناه، لم يخبرونا مطلقًا بالمكان الذين ذهبوا إليه، حتى عندما غادروا القاعدة للذهاب إلى مكان آخر للبقاء لفترة من الوقت.	أنا لم أسأل أبدا أين هم ذاهبون.	neutral
167	كل ما فعلناه، لم يخبرونا مطلقًا بالمكان الذين ذهبوا إليه، حتى عندما غادروا القاعدة للذهاب إلى مكان آخر للبقاء لفترة من الوقت.	سمحوا لنا دائما بعرف أين كانوا وأين هم ذاهبون.	contradiction
168	كل ما فعلناه، لم يخبرونا مطلقًا بالمكان الذين ذهبوا إليه، حتى عندما غادروا القاعدة للذهاب إلى مكان آخر للبقاء لفترة من الوقت.	لم يُخبرونا أبدأ بوجهتهم.	entailment
175	قالوا، نحن ندفع للحصول على مكان من أجلك تقيم فيه.	لن يدفعوا مقابل أي شيء.	contradiction
176	قالوا، نحن ندفع للحصول على مكان من أجلك تقيم فيه.	انهم يدفعون ثمن السكن لي ولأشقائي.	neutral
177	قالوا، نحن ندفع للحصول على مكان من أجلك تقيم فيه.	إنهم يدفعون من أجل السكن.	entailment
178	حسنا ، وفي اليوم التالي ، طبعا ، الرئيس كينيدي ،إيه، حاصر كوبا و،إيه وسفننا أوقفت سفينة روسية كانت متجهة خارج كوبا من الداخل ، ووجدوا صواريخ عليها .	قال كنيدي لقواتنا للبحث عن الصواريخ.	entailment
179	حسنا ، وفي اليوم التالي ، طبعا ، الرئيس كينيدي ،إيه، حاصر كوبا و،إيه وسفننا أوقفت سفينة روسية كانت متجهة خارج كوبا من الداخل ، ووجدوا صواريخ عليها .	لم يوقفوا أي سفينة لأنهم لا يريدون صراعا.	contradiction
180	حسنا ، وفي اليوم التالي ، طبعا ، الرئيس كينيدي ،إيه، حاصر كوبا و،إيه وسفننا أوقفت سفينة روسية كانت متجهة خارج كوبا من الداخل ، ووجدوا صواريخ عليها .	عثروا على 20 صاروخًا على السفينة.	neutral
181	وقد أتى الرجل على أي حال.	دخل الرجل قاعة المحكمة.	neutral
182	وقد أتى الرجل على أي حال.	دخل الرجل الغرفة.	entailment
183	وقد أتى الرجل على أي حال.	ركض الرجل في الاتجاه الآخر.	contradiction
184	أم ، كان جدي وجدتي دائما ناس محبين جدا جدا وكان والدأي يقضوا وقتا ممتعا هناك .	التنقل إلى منزل جدتي استغرق وقتا طويلا .	neutral
185	أم ، كان جدي وجدتي دائما ناس محبين جدا جدا وكان والدأي يقضوا وقتا ممتعا هناك .	كان جدي زجدتي زوجين محبين جدا.	entailment
186	أم ، كان جدي وجدتي دائما ناس محبين جدا جدا وكان والدأي يقضوا وقتا ممتعا هناك .	كان أجدادي غريبين الأطوار ولم نكن نحب أبداً الذهاب إلى منزلهم.	contradiction
196	لم يكن لدي الوقت للدخول في جميع الأنواع .	كنت قد انتهيت من الدخول في وقت لاحق.	neutral
197	لم يكن لدي الوقت للدخول في جميع الأنواع .	قمت بإدخالها كلها تماماً على الوقت.	contradiction
198	لم يكن لدي الوقت للدخول في جميع الأنواع .	لقد افتقدت إلى الوقت لإدخال كل شيء.	entailment
199	وكان من أحد واجباتي تدريب الأفراد على كيقية وضع المظلات على مشغل الأسلحة النووية التي تفجر القنبلة الزرية نفسها .	يتلقّى القنبلة ذرية ما من زناد.	contradiction
200	وكان من أحد واجباتي تدريب الأفراد على كيقية وضع المظلات على مشغل الأسلحة النووية التي تفجر القنبلة الزرية نفسها .	تنفجر القنبلة عندما يُسحب الزناد.	entailment
201	وكان من أحد واجباتي تدريب الأفراد على كيقية وضع المظلات على مشغل الأسلحة النووية التي تفجر القنبلة الزرية نفسها .	أنت فقط بحاجة إلى القليل من القوة لسحب زناد القنبلة الذرية.	neutral
202	اعتادت جدتي أن تخبرني عدا كبيرا من الحكايا عن سنوات ترعرها و،إيه، خاصة ،إيه ، اعتادت أن تتحدث عن عائلتها وكيف كانت في  تلك الأوقات .	لقد استمتعت دائمًا بالاستماع إلى قصص جدتي.	neutral
203	اعتادت جدتي أن تخبرني عدا كبيرا من الحكايا عن سنوات ترعرها و،إيه، خاصة ،إيه ، اعتادت أن تتحدث عن عائلتها وكيف كانت في  تلك الأوقات .	دائما ما رفضت جدتي التحدث عن طفولتها.	contradiction
204	اعتادت جدتي أن تخبرني عدا كبيرا من الحكايا عن سنوات ترعرها و،إيه، خاصة ،إيه ، اعتادت أن تتحدث عن عائلتها وكيف كانت في  تلك الأوقات .	أخبرتني جدتي بالكثير من الأشياء عن عائلتها خلال فترة عيشها معهم.	entailment
205	كان لدينا نفس بدلات الضغط التي يرتديها رواد الفضاء، غير أن بدلاتنا كانت من الفضة. الحذاء و كل شيء كان مصنوعا من الفضة لعكس الحرارة بطبيعة الحال.	بدلاتنا لم تكن مثل ما كان يمتلكه رواد الفضاء.	contradiction
206	كان لدينا نفس بدلات الضغط التي يرتديها رواد الفضاء، غير أن بدلاتنا كانت من الفضة. الحذاء و كل شيء كان مصنوعا من الفضة لعكس الحرارة بطبيعة الحال.	كانت الدعاوى لدينا هي نفس رواد الفضاء باستثناء تعكس الحرارة ، كانت لنا الفضة.	entailment
207	كان لدينا نفس بدلات الضغط التي يرتديها رواد الفضاء، غير أن بدلاتنا كانت من الفضة. الحذاء و كل شيء كان مصنوعا من الفضة لعكس الحرارة بطبيعة الحال.	يمكنك الحصول على الأطقم في اللون الذي تريده.	neutral
208	وكان هو ، لم يكن جدي رجلا  ظريفا.	جدي كان أحمق.	entailment
209	وكان هو ، لم يكن جدي رجلا  ظريفا.	جدي كان عنصرياً وحقير.	neutral
210	وكان هو ، لم يكن جدي رجلا  ظريفا.	كان جدي ألطف رجل ممكن أن تلتلقي به على الإطلاق!	contradiction
211	إنها  30 أو 40 طائرة من طراز U2 ، وبدأنا تدريب الطيارين الصينيين والطيارين البريطانيين في جميع أنحاء العالم الذي كنا حلفاء معه.	ليس لنا تدريب مع أي شخص.	contradiction
212	إنها  30 أو 40 طائرة من طراز U2 ، وبدأنا تدريب الطيارين الصينيين والطيارين البريطانيين في جميع أنحاء العالم الذي كنا حلفاء معه.	حصلنا على تدريب لمدة 5 أسابيع مع البريطانيين.	neutral
213	إنها  30 أو 40 طائرة من طراز U2 ، وبدأنا تدريب الطيارين الصينيين والطيارين البريطانيين في جميع أنحاء العالم الذي كنا حلفاء معه.	نحن درّبنا مع كثيرا من آخر جندي.	entailment
214	لذا ، إنها تبدو ، حسناً ، أنظر إلى هذا في مثل هذه الشركة	لم يتحدث إلى.	contradiction
215	لذا ، إنها تبدو ، حسناً ، أنظر إلى هذا في مثل هذه الشركة	لقد طلبت مني البحث عن شيء.	entailment
216	لذا ، إنها تبدو ، حسناً ، أنظر إلى هذا في مثل هذه الشركة	قالت لي للبحث عن معلومات التمويل الخاصة بهم.	neutral
217	قال أنهم اتجهوا إلى الشمال.	قال أنه  أقام بعض محطات الوقوف على طول الطريق.	neutral
218	قال أنهم اتجهوا إلى الشمال.	إنه قال بأنهم ذهبو للجنوب .	contradiction
219	قال أنهم اتجهوا إلى الشمال.	قال أنهم صعدوا شمالاً.	entailment
235	لا، لأكون صادقًا، لم أقرأ أي من الكتب التي كان من المفترض أن أقرأها.	لم أقرأ أي كتب أطول من 100 صفحة.	neutral
236	لا، لأكون صادقًا، لم أقرأ أي من الكتب التي كان من المفترض أن أقرأها.	أنا لم أقرأ الكثير من الكتب.	entailment
237	لا، لأكون صادقًا، لم أقرأ أي من الكتب التي كان من المفترض أن أقرأها.	أنا أقرأ الكتب كل يوم .	contradiction
238	تقدمت واخترت الأمتعة وذهبت إلى العنوان الذي كان من المفترض أن أذهب إليه.	تركت  الحقيبة وحسبت أنها ليست مشكلتي.	contradiction
239	تقدمت واخترت الأمتعة وذهبت إلى العنوان الذي كان من المفترض أن أذهب إليه.	أخذت الحقيبة إلى شقته.	neutral
240	تقدمت واخترت الأمتعة وذهبت إلى العنوان الذي كان من المفترض أن أذهب إليه.	أخذت الحقيبة إلى المكان الذي تنتمي إليه.	entailment
241	كان البديل المزاجي المذهل.	ظل مزاجها ثابتًا تمامًا.	contradiction
242	كان البديل المزاجي المذهل.	تحولت حالتها من سعيدة إلى حزينة.	neutral
243	كان البديل المزاجي المذهل.	تغير المزاج كثيرا.	entailment
244	لقد اختاروا لي أكثر من 15 فردا هناك ، للذهاب من خلال تلك المدرسة وأنا لست كذلك ، أنا لست كذلك.	لم يتم اختياري لحضور المدرسة.	contradiction
245	لقد اختاروا لي أكثر من 15 فردا هناك ، للذهاب من خلال تلك المدرسة وأنا لست كذلك ، أنا لست كذلك.	لقد تم اختياري للالتحاق بهذه المدرسة.	entailment
246	لقد اختاروا لي أكثر من 15 فردا هناك ، للذهاب من خلال تلك المدرسة وأنا لست كذلك ، أنا لست كذلك.	كنت المرشح الأكثر مصداقية.	neutral
247	عليهم المرور عبر عدد من غرف عالية الارتفاع، اه، يلزم الركوب قبل البدء بالطيران بــU2 أو التحليق مع بذلات الضغط.	معظم الناس يفشلون في الاختبارات ولا يستطيعوا الطيران U2s.	neutral
248	عليهم المرور عبر عدد من غرف عالية الارتفاع، اه، يلزم الركوب قبل البدء بالطيران بــU2 أو التحليق مع بذلات الضغط.	عليهم أن يمروا بالكثير من التدريب قبل أن يطيروا مع U2.	entailment
249	عليهم المرور عبر عدد من غرف عالية الارتفاع، اه، يلزم الركوب قبل البدء بالطيران بــU2 أو التحليق مع بذلات الضغط.	لقد تركوك تطير U2s في اليوم الأول.	contradiction
253	أنا أغطي نفس الأشياء.	أغطي المواد الجديدة تمامًا.	contradiction
254	أنا أغطي نفس الأشياء.	أغطي نفس الأشياء التي تغطيها المجلات الأخرى.	neutral
255	أنا أغطي نفس الأشياء.	أنا أتحدث عن نفس الأشياء التي فعلوها.	entailment
256	كانت هذه هي المرة الأولى التي حدث فيها ذلك ، منذ 75 سنة ، أن الهيئة التشريعية في ولاية تكساس قد صوتت لوحدة عسكرية في منصب سفراء تكساس ، لذا فقد احتاجت إلى سفراء تكساس.	لا يُسمح للوحدات العسكرية أن تكون سفراء تكساس.	contradiction
257	كانت هذه هي المرة الأولى التي حدث فيها ذلك ، منذ 75 سنة ، أن الهيئة التشريعية في ولاية تكساس قد صوتت لوحدة عسكرية في منصب سفراء تكساس ، لذا فقد احتاجت إلى سفراء تكساس.	سُميت الوحدة العسكرية باسم سفراء تكساس في الكونغرس الأمريكي.	neutral
258	كانت هذه هي المرة الأولى التي حدث فيها ذلك ، منذ 75 سنة ، أن الهيئة التشريعية في ولاية تكساس قد صوتت لوحدة عسكرية في منصب سفراء تكساس ، لذا فقد احتاجت إلى سفراء تكساس.	تم تسمية الوحدة العسكرية باسم سفراء تكساس.	entailment
259	إذا كان هناك أي شيء يمكنني القيام به.	أستطيع عمل شئ .	entailment
260	إذا كان هناك أي شيء يمكنني القيام به.	كنت أعرف أنه ليس عناك شيئا يمكنني فعله.	contradiction
261	إذا كان هناك أي شيء يمكنني القيام به.	أعتقد أنه كان بإمكاني فعل شيء ما لإنقاذه.	neutral
262	كرهت ذلك ، وكانت تخبر شقيقتها كل يوم ، وقالت إنك تقوم بعمل خاطئ.	شجعت دائما شقيقتها.	contradiction
263	كرهت ذلك ، وكانت تخبر شقيقتها كل يوم ، وقالت إنك تقوم بعمل خاطئ.	أوضحت بشدة أن أختها لا تستطيع أن تفعل أي شيء بشكل صحيح.	neutral
264	كرهت ذلك ، وكانت تخبر شقيقتها كل يوم ، وقالت إنك تقوم بعمل خاطئ.	كانت تنتقد أختها.	entailment
268	لذا ذهبت إلى منزلها ثم اتصلت بهذا الرقم الذي كان من المفترض أن أتصل به عندما وصلت هناك.	اقترضت هاتفها لإجراء المكالمة.	neutral
269	لذا ذهبت إلى منزلها ثم اتصلت بهذا الرقم الذي كان من المفترض أن أتصل به عندما وصلت هناك.	لقد اتصلت بالرقم عند وصولي لمنزلها.	entailment
